湿度情景,pair_id,scenario,是否找到路径,路径总代价_J,路径长度_L_m,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b
dry,1,contour_cross_slope,True,8751.099360674958,5253.438782177368,5253.438782177368,0.2685394155743148,0.18384459756669344,0.26550821603470387,0.6998439612070847,0.8659377377490827,1.50350061412574,2.124148252186727,0.9049523224616309,8.593221683463447,8.593221683463447,0.05200002687341483,0.3002565865793261,0.16524463541092854,0.06711636899468035,0.28153925074180797,0.3609501813205381,0.22272684302540655,0.14652729957341046,0.0,0.6307458574011824,0.46625432562453545,0.46625432562453545
dry,2,upslope_downslope,True,8518.24063639728,4514.513659233866,4514.513659233867,0.43219610762634403,0.41976212745487596,0.30756636549679556,0.5491883597119578,0.9740055575251156,2.2552509211886105,2.340324961814324,0.8273849805363485,1.4920026616021336,2.340324961814324,0.015401454579638776,0.33554835772249175,0.30757571510049675,0.24578210208997872,0.41893512198784527,0.5203658126781571,0.3548746265159337,0.3137674117756935,0.0,0.33135796170837317,0.5321586700283003,0.5321586700283003
dry,3,diagonal_ne_sw,True,8850.38154214147,5002.072000438808,5002.07200043881,0.4352572016460546,0.2801919901962536,0.2613764547741907,0.5944110143086618,0.9236976737212252,2.3454609580361545,2.1048193482986317,0.8273849805363483,3.836259680117611,3.836259680117611,0.04170076544225053,0.24206201170859282,0.2660805692363175,0.17634268873861766,0.3278484493354978,0.4462052107420441,0.34668800807140837,0.219031314898567,0.0,0.434280677030025,0.48986770153218034,0.48986770153218034
dry,4,diagonal_nw_se,True,8577.065219101714,4456.065255699849,4456.065255699856,0.3554616842184163,0.5998318034630725,0.3370060218949249,0.6850159668773909,1.2005101885261737,2.8492030857740844,14.884687558856326,0.8661686514989897,6.4449162625975855,14.884687558856326,0.05216467182519129,0.44317004889005646,0.25500977172085654,0.29046206990813367,0.4765947961658847,0.6003136455326619,0.25879580821450765,0.3189918762751403,0.0,0.42221231551035227,0.5088911648508562,0.5088911648508562
normal,1,contour_cross_slope,True,9909.534374564202,5294.16855833321,5294.168558333211,0.27955993395308015,0.2636772509031512,0.2548126844417402,0.8797136211019696,1.069422276425671,1.50350061412574,3.0614549539839597,0.9049523224616309,4.910412390550541,4.910412390550541,0.04390664542203454,0.42889333195054663,0.17485336325180934,0.1168800279071499,0.4048799901947852,0.46829333006492835,0.18705333873877233,0.17617332968780477,0.0,0.6367733315734223,0.3186856783808355,0.3186856783808355
normal,2,upslope_downslope,True,9515.162513432662,4514.513659233866,4514.513659233867,0.4274003230321769,0.6005369360933471,0.30709982569323574,0.7759287718113823,1.2432285624665766,2.3454609580361545,3.386087277101314,0.8273849805363485,2.114321817169962,3.386087277101314,0.021780945946798372,0.5139863213109975,0.30757571510049675,0.32807431867881176,0.5962785378998305,0.6578843562183857,0.30867026277701737,0.3137674117756935,0.0,0.3775623254472895,0.3778736350787553,0.3778736350787553
normal,3,diagonal_ne_sw,True,9816.023091387087,5110.285079299332,5110.285079299334,0.43620842103505153,0.38837048737908203,0.23564635080856342,0.7396552784724767,1.0966984413328165,2.3454609580361545,2.7037992519043903,0.8403128708572288,3.836259680117611,3.836259680117611,0.01924166195466687,0.3895020491713348,0.27035020959256156,0.1928171401312167,0.4293528358924419,0.5166240460943294,0.2905588137744539,0.2575453411122135,0.0,0.4518958451133329,0.33970762339214833,0.33970762339214833
normal,4,diagonal_nw_se,True,9751.142653279423,4540.419384080703,4540.419384080707,0.3662147990593123,0.6686443783071948,0.28424119763008754,0.8073369012056565,1.3235308934689451,1.4734306018432253,2.9212965283338215,0.7495947108111005,6.4449162625975855,6.4449162625975855,0.00634309267046654,0.4924752430748735,0.2741053539797112,0.31985937182262697,0.6302974662467409,0.7538944117136517,0.2852524469566211,0.303006699106174,0.0,0.41174085393720533,0.3607539489127648,0.3607539489127648
wet,1,contour_cross_slope,True,12589.724261773965,5447.204962083914,5447.204962083913,0.28474263522077037,0.46618074942661697,0.23460417782601445,1.2929245003660423,1.5527243226700194,1.9136438635796094,5.07294903715656,0.9049523224616309,8.593221683463447,8.593221683463447,0.050150299052920885,0.6706924437859177,0.17522811893558546,0.2715244292893908,0.5972034453837389,0.6728824614780871,0.1668437957992105,0.2064197540235871,0.0,0.6267364501772018,0.1841939007033919,0.1841939007033919
wet,2,upslope_downslope,True,11713.559814164846,4677.432763857236,4677.432763857238,0.4493583889832445,1.0029954928562381,0.2779413859116042,1.16063639542791,1.8411814091793919,1.9986947019609254,6.8317839328571095,0.723961857969305,3.1524387475378006,6.8317839328571095,0.00870772028420457,0.6893288333434001,0.265457302992141,0.3890406492144409,0.7836197478635836,0.8195070526169027,0.24443500658466308,0.34910890363248703,0.0,0.40645608978285025,0.22654629650548788,0.22654629650548788
wet,3,diagonal_ne_sw,True,11965.011533710025,5144.026730651674,5144.026730651674,0.42947498465812317,0.6388230902525526,0.21414017127320079,1.0511975133942761,1.5185621122827573,2.5559510440137583,4.50540751358953,0.7756734192528265,3.836259680117611,4.50540751358953,0.007917878014347495,0.6414446642939732,0.2741756637418656,0.2703332650180097,0.5985755817634771,0.7192649513406175,0.24714233724006468,0.25913569454490376,0.0,0.49372196821503195,0.20354226915505222,0.20354226915505222
wet,4,diagonal_nw_se,True,12286.645844654362,4725.9984665185775,4725.998466518581,0.3686931178121744,1.033651501125113,0.2653920217945542,1.1666543606512028,1.7992600654395103,1.5636406386907695,4.815594847038364,0.8044431042850835,6.4449162625975855,6.4449162625975855,0.006094014020538256,0.6294901032780136,0.27257258415145713,0.4615613249830474,0.733521429869081,0.8116980446287375,0.22086316048863522,0.3287179750620531,0.0,0.4504188644493119,0.22065626338744754,0.22065626338744754
post_rain,1,contour_cross_slope,True,12888.051692485753,5447.204962083914,5447.204962083913,0.28474263522077037,0.4861599158012647,0.23460417782601445,1.3437324014802654,1.60884684079439,1.9136438635796094,5.221873218752373,0.9049523224616309,8.593221683463447,8.593221683463447,0.050150299052920885,0.6856468199988006,0.17522811893558546,0.2790016173958323,0.6345893859159463,0.6909339904130728,0.1668437957992105,0.19894256591714563,0.0,0.6342136382836433,0.17630885853037231,0.17630885853037231
post_rain,2,upslope_downslope,True,11808.769717176276,4677.432763857236,4677.432763857238,0.4493583889832445,1.0168051341779656,0.28368258100333843,1.200527811437323,1.8772458088104842,1.9986947019609254,6.978187585782241,0.8144570902154679,3.2506722574495166,6.978187585782241,0.01741544056840914,0.6893288333434001,0.265457302992141,0.39519793727607766,0.7836197478635836,0.8195070526169027,0.24443500658466308,0.34040118334828245,0.0,0.41516381006705483,0.22328385510129767,0.22328385510129767
post_rain,3,diagonal_ne_sw,True,12140.094389576165,5144.026730651674,5144.026730651674,0.42947498465812317,0.6680686274237658,0.2113764118925237,1.0593966833237336,1.5647996603394367,2.5559510440137583,4.65994218535178,0.7756734192528265,3.836259680117611,4.65994218535178,0.007917878014347495,0.6358458790574202,0.2741756637418656,0.2703332650180097,0.6302470938208672,0.727182829354965,0.2359447667669587,0.25353690930835077,0.0,0.5105183239246909,0.19894169270459588,0.19894169270459588
post_rain,4,diagonal_nw_se,True,12394.874958716306,4725.9984665185775,4725.998466518581,0.3686931178121744,1.0453250394236773,0.26416644990549454,1.1800060516586297,1.8199418150724973,1.5636406386907695,4.824101582074862,0.8044431042850835,6.4449162625975855,6.4449162625975855,0.006094014020538256,0.6355841172985518,0.27257258415145713,0.4615613249830474,0.733521429869081,0.8116980446287375,0.22086316048863522,0.3287179750620531,0.0,0.4504188644493119,0.2167859341241845,0.2167859341241845
